,model,name,MCC,seed
43,svm,svm_seed_8_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.261,8_skf_3
44,svm,svm_seed_8_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.31,8_skf_4
45,svm,svm_seed_9_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23399999999999999,9_skf_0
47,svm,svm_seed_9_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.209,9_skf_2
48,svm,svm_seed_9_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.332,9_skf_3
49,svm,svm_seed_9_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.259,9_skf_4
50,svm,svm_seed_10_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.315,10_skf_0
51,svm,svm_seed_10_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.29100000000000004,10_skf_1
52,svm,svm_seed_10_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.368,10_skf_2
53,svm,svm_seed_10_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.20800000000000002,10_skf_3
54,svm,svm_seed_10_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.222,10_skf_4
55,svm,svm_seed_11_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.313,11_skf_0
56,svm,svm_seed_11_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.332,11_skf_1
57,svm,svm_seed_11_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.3,11_skf_2
60,svm,svm_seed_12_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.285,12_skf_0
61,svm,svm_seed_12_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.309,12_skf_1
63,svm,svm_seed_12_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23800000000000002,12_skf_3
64,svm,svm_seed_12_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.327,12_skf_4
65,svm,svm_seed_13_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.285,13_skf_0
66,svm,svm_seed_13_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.332,13_skf_1
67,svm,svm_seed_13_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.233,13_skf_2
68,svm,svm_seed_13_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23800000000000002,13_skf_3
69,svm,svm_seed_13_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.371,13_skf_4
70,svm,svm_seed_14_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.348,14_skf_0
71,svm,svm_seed_14_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.326,14_skf_1
72,svm,svm_seed_14_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23399999999999999,14_skf_2
75,svm,svm_seed_15_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.309,15_skf_0
76,svm,svm_seed_15_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.285,15_skf_1
77,svm,svm_seed_15_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.259,15_skf_2
79,svm,svm_seed_15_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.304,15_skf_4
81,svm,svm_seed_16_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.32799999999999996,16_skf_1
83,svm,svm_seed_16_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.309,16_skf_3
84,svm,svm_seed_16_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.258,16_skf_4
85,svm,svm_seed_17_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.332,17_skf_0
87,svm,svm_seed_17_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.261,17_skf_2
88,svm,svm_seed_17_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.214,17_skf_3
89,svm,svm_seed_17_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.214,17_skf_4
90,svm,svm_seed_18_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.261,18_skf_0
91,svm,svm_seed_18_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.32799999999999996,18_skf_1
93,svm,svm_seed_18_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23399999999999999,18_skf_3
94,svm,svm_seed_18_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.261,18_skf_4
95,svm,svm_seed_19_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.35,19_skf_0
96,svm,svm_seed_19_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.217,19_skf_1
97,svm,svm_seed_19_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23800000000000002,19_skf_2
98,svm,svm_seed_19_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.24100000000000002,19_skf_3
99,svm,svm_seed_19_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.261,19_skf_4
1,rf,rf_seed_0_skf_1_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.319,0_skf_1
2,rf,rf_seed_0_skf_2_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.374,0_skf_2
3,rf,rf_seed_0_skf_3_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.361,0_skf_3
4,rf,rf_seed_0_skf_4_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.387,0_skf_4
5,rf,rf_seed_1_skf_0_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.311,1_skf_0
6,rf,rf_seed_1_skf_1_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.304,1_skf_1
7,rf,rf_seed_1_skf_2_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.336,1_skf_2
8,rf,rf_seed_1_skf_3_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.33,1_skf_3
9,rf,rf_seed_1_skf_4_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.382,1_skf_4
11,rf,rf_seed_2_skf_1_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.355,2_skf_1
12,rf,rf_seed_2_skf_2_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.38,2_skf_2
13,rf,rf_seed_2_skf_3_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.336,2_skf_3
14,rf,rf_seed_2_skf_4_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.324,2_skf_4
15,rf,rf_seed_3_skf_0_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.349,3_skf_0
16,rf,rf_seed_3_skf_1_paras_51_estimator_700_depth_5_random_1_leaf_9_weight_balanced,0.34299999999999997,3_skf_1
