,model,name,MCC,seed
87,rf,rf_seed_17_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.292,17_skf_2
88,rf,rf_seed_17_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.315,17_skf_3
89,rf,rf_seed_17_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.442,17_skf_4
90,rf,rf_seed_18_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34,18_skf_0
91,rf,rf_seed_18_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.3,18_skf_1
92,rf,rf_seed_18_skf_2_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.337,18_skf_2
93,rf,rf_seed_18_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.275,18_skf_3
94,rf,rf_seed_18_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34700000000000003,18_skf_4
95,rf,rf_seed_19_skf_0_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34,19_skf_0
96,rf,rf_seed_19_skf_1_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.275,19_skf_1
98,rf,rf_seed_19_skf_3_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.34700000000000003,19_skf_3
99,rf,rf_seed_19_skf_4_paras_15_estimator_100_depth_11_random_1_leaf_9_weight_balanced,0.359,19_skf_4
0,xgboost,xgboost_seed_0_skf_0_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.337,0_skf_0
1,xgboost,xgboost_seed_0_skf_1_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.44,0_skf_1
2,xgboost,xgboost_seed_0_skf_2_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.44799999999999995,0_skf_2
3,xgboost,xgboost_seed_0_skf_3_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.38,0_skf_3
4,xgboost,xgboost_seed_0_skf_4_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.42100000000000004,0_skf_4
5,xgboost,xgboost_seed_1_skf_0_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.42100000000000004,1_skf_0
6,xgboost,xgboost_seed_1_skf_1_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.429,1_skf_1
7,xgboost,xgboost_seed_1_skf_2_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.401,1_skf_2
9,xgboost,xgboost_seed_1_skf_4_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.42100000000000004,1_skf_4
11,xgboost,xgboost_seed_2_skf_1_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.401,2_skf_1
12,xgboost,xgboost_seed_2_skf_2_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.401,2_skf_2
13,xgboost,xgboost_seed_2_skf_3_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.42100000000000004,2_skf_3
14,xgboost,xgboost_seed_2_skf_4_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.39,2_skf_4
15,xgboost,xgboost_seed_3_skf_0_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.39,3_skf_0
16,xgboost,xgboost_seed_3_skf_1_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.44,3_skf_1
17,xgboost,xgboost_seed_3_skf_2_paras_105_lr_0.01_n_700_depth_11_subsample_0.7_scale_pos_weight_0.65,0.44799999999999995,3_skf_2
