,name,seed,tgood,vgood,model
129,knn_seed_101_skf_3_paras_0_K_3,101_skf_3,1,1,knn
130,knn_seed_101_skf_4_paras_0_K_3,101_skf_4,1,1,knn
131,knn_seed_102_skf_2_paras_0_K_3,102_skf_2,1,1,knn
132,knn_seed_104_skf_0_paras_0_K_3,104_skf_0,1,1,knn
133,knn_seed_107_skf_0_paras_0_K_3,107_skf_0,1,1,knn
134,knn_seed_107_skf_3_paras_0_K_3,107_skf_3,1,1,knn
135,knn_seed_110_skf_0_paras_0_K_3,110_skf_0,1,1,knn
136,knn_seed_110_skf_1_paras_0_K_3,110_skf_1,1,1,knn
137,knn_seed_110_skf_2_paras_0_K_3,110_skf_2,1,1,knn
138,knn_seed_111_skf_3_paras_0_K_3,111_skf_3,1,1,knn
139,knn_seed_112_skf_0_paras_0_K_3,112_skf_0,1,1,knn
140,knn_seed_112_skf_3_paras_0_K_3,112_skf_3,1,1,knn
141,knn_seed_113_skf_2_paras_0_K_3,113_skf_2,1,1,knn
142,knn_seed_113_skf_4_paras_0_K_3,113_skf_4,1,1,knn
143,knn_seed_114_skf_1_paras_0_K_3,114_skf_1,1,1,knn
144,knn_seed_115_skf_2_paras_0_K_3,115_skf_2,1,1,knn
145,knn_seed_116_skf_0_paras_0_K_3,116_skf_0,1,1,knn
146,knn_seed_116_skf_3_paras_0_K_3,116_skf_3,1,1,knn
147,knn_seed_118_skf_3_paras_0_K_3,118_skf_3,1,1,knn
148,knn_seed_119_skf_2_paras_0_K_3,119_skf_2,1,1,knn
149,knn_seed_121_skf_0_paras_0_K_3,121_skf_0,1,1,knn
150,knn_seed_121_skf_2_paras_0_K_3,121_skf_2,1,1,knn
151,knn_seed_122_skf_0_paras_0_K_3,122_skf_0,1,1,knn
152,knn_seed_122_skf_4_paras_0_K_3,122_skf_4,1,1,knn
153,knn_seed_123_skf_0_paras_0_K_3,123_skf_0,1,1,knn
154,knn_seed_123_skf_1_paras_0_K_3,123_skf_1,1,1,knn
155,knn_seed_124_skf_4_paras_0_K_3,124_skf_4,1,1,knn
156,knn_seed_125_skf_1_paras_0_K_3,125_skf_1,1,1,knn
157,knn_seed_125_skf_4_paras_0_K_3,125_skf_4,1,1,knn
158,knn_seed_126_skf_1_paras_0_K_3,126_skf_1,1,1,knn
159,knn_seed_126_skf_2_paras_0_K_3,126_skf_2,1,1,knn
160,knn_seed_126_skf_4_paras_0_K_3,126_skf_4,1,1,knn
161,knn_seed_127_skf_1_paras_0_K_3,127_skf_1,1,1,knn
162,knn_seed_127_skf_3_paras_0_K_3,127_skf_3,1,1,knn
163,knn_seed_128_skf_0_paras_0_K_3,128_skf_0,1,1,knn
164,knn_seed_128_skf_1_paras_0_K_3,128_skf_1,1,1,knn
165,knn_seed_128_skf_3_paras_0_K_3,128_skf_3,1,1,knn
166,knn_seed_128_skf_4_paras_0_K_3,128_skf_4,1,1,knn
167,knn_seed_129_skf_3_paras_0_K_3,129_skf_3,1,1,knn
168,knn_seed_129_skf_4_paras_0_K_3,129_skf_4,1,1,knn
169,knn_seed_130_skf_0_paras_0_K_3,130_skf_0,1,1,knn
170,knn_seed_130_skf_3_paras_0_K_3,130_skf_3,1,1,knn
171,knn_seed_131_skf_1_paras_0_K_3,131_skf_1,1,1,knn
172,knn_seed_133_skf_0_paras_0_K_3,133_skf_0,1,1,knn
173,knn_seed_133_skf_4_paras_0_K_3,133_skf_4,1,1,knn
174,knn_seed_134_skf_0_paras_0_K_3,134_skf_0,1,1,knn
175,knn_seed_134_skf_3_paras_0_K_3,134_skf_3,1,1,knn
176,knn_seed_135_skf_1_paras_0_K_3,135_skf_1,1,1,knn
177,knn_seed_135_skf_3_paras_0_K_3,135_skf_3,1,1,knn
178,knn_seed_135_skf_4_paras_0_K_3,135_skf_4,1,1,knn
179,knn_seed_137_skf_2_paras_0_K_3,137_skf_2,1,1,knn
180,knn_seed_137_skf_4_paras_0_K_3,137_skf_4,1,1,knn
181,knn_seed_138_skf_1_paras_0_K_3,138_skf_1,1,1,knn
182,knn_seed_138_skf_2_paras_0_K_3,138_skf_2,1,1,knn
183,knn_seed_139_skf_2_paras_0_K_3,139_skf_2,1,1,knn
184,knn_seed_139_skf_3_paras_0_K_3,139_skf_3,1,1,knn
185,knn_seed_139_skf_4_paras_0_K_3,139_skf_4,1,1,knn
186,knn_seed_140_skf_3_paras_0_K_3,140_skf_3,1,1,knn
187,knn_seed_140_skf_4_paras_0_K_3,140_skf_4,1,1,knn
188,knn_seed_141_skf_0_paras_0_K_3,141_skf_0,1,1,knn
189,knn_seed_142_skf_3_paras_0_K_3,142_skf_3,1,1,knn
190,knn_seed_144_skf_0_paras_0_K_3,144_skf_0,1,1,knn
191,knn_seed_145_skf_1_paras_0_K_3,145_skf_1,1,1,knn
192,knn_seed_145_skf_2_paras_0_K_3,145_skf_2,1,1,knn
193,knn_seed_145_skf_3_paras_0_K_3,145_skf_3,1,1,knn
194,knn_seed_146_skf_0_paras_0_K_3,146_skf_0,1,1,knn
195,knn_seed_147_skf_4_paras_0_K_3,147_skf_4,1,1,knn
196,knn_seed_149_skf_3_paras_0_K_3,149_skf_3,1,1,knn
