,model,name,MCC,seed
94,lr,lr_seed_18_skf_4_paras_0_C_0.001_weight_balanced,0.363,18_skf_4
95,lr,lr_seed_19_skf_0_paras_0_C_0.001_weight_balanced,0.39799999999999996,19_skf_0
96,lr,lr_seed_19_skf_1_paras_0_C_0.001_weight_balanced,0.348,19_skf_1
97,lr,lr_seed_19_skf_2_paras_0_C_0.001_weight_balanced,0.32899999999999996,19_skf_2
98,lr,lr_seed_19_skf_3_paras_0_C_0.001_weight_balanced,0.32899999999999996,19_skf_3
99,lr,lr_seed_19_skf_4_paras_0_C_0.001_weight_balanced,0.355,19_skf_4
0,svm,svm_seed_0_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.233,0_skf_0
1,svm,svm_seed_0_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.3,0_skf_1
2,svm,svm_seed_0_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.247,0_skf_2
3,svm,svm_seed_0_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.259,0_skf_3
4,svm,svm_seed_0_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.258,0_skf_4
5,svm,svm_seed_1_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.359,1_skf_0
6,svm,svm_seed_1_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.185,1_skf_1
7,svm,svm_seed_1_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.28300000000000003,1_skf_2
8,svm,svm_seed_1_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.34700000000000003,1_skf_3
9,svm,svm_seed_1_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.315,1_skf_4
10,svm,svm_seed_2_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.306,2_skf_0
11,svm,svm_seed_2_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.233,2_skf_1
12,svm,svm_seed_2_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23800000000000002,2_skf_2
13,svm,svm_seed_2_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.207,2_skf_3
14,svm,svm_seed_2_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23399999999999999,2_skf_4
15,svm,svm_seed_3_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.275,3_skf_0
16,svm,svm_seed_3_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.233,3_skf_1
17,svm,svm_seed_3_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.28300000000000003,3_skf_2
18,svm,svm_seed_3_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.32799999999999996,3_skf_3
19,svm,svm_seed_3_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.317,3_skf_4
20,svm,svm_seed_4_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.233,4_skf_0
21,svm,svm_seed_4_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.285,4_skf_1
22,svm,svm_seed_4_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.285,4_skf_2
23,svm,svm_seed_4_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23800000000000002,4_skf_3
24,svm,svm_seed_4_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.332,4_skf_4
25,svm,svm_seed_5_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.309,5_skf_0
27,svm,svm_seed_5_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23399999999999999,5_skf_2
28,svm,svm_seed_5_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.265,5_skf_3
29,svm,svm_seed_5_skf_4_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.309,5_skf_4
30,svm,svm_seed_6_skf_0_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.23399999999999999,6_skf_0
31,svm,svm_seed_6_skf_1_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.28300000000000003,6_skf_1
32,svm,svm_seed_6_skf_2_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.369,6_skf_2
33,svm,svm_seed_6_skf_3_paras_10_kernel_rbf_C_10_gamma_0.1_weight_balanced,0.29100000000000004,6_skf_3
