,name,seed,tgood,vgood,model
172,knn_seed_122_skf_4_paras_1_K_5,122_skf_4,1,1,knn
173,knn_seed_123_skf_1_paras_1_K_5,123_skf_1,1,1,knn
174,knn_seed_123_skf_3_paras_1_K_5,123_skf_3,1,1,knn
175,knn_seed_124_skf_3_paras_1_K_5,124_skf_3,1,1,knn
176,knn_seed_125_skf_1_paras_1_K_5,125_skf_1,1,1,knn
177,knn_seed_125_skf_4_paras_1_K_5,125_skf_4,1,1,knn
178,knn_seed_126_skf_4_paras_1_K_5,126_skf_4,1,1,knn
179,knn_seed_127_skf_0_paras_1_K_5,127_skf_0,1,1,knn
180,knn_seed_128_skf_3_paras_1_K_5,128_skf_3,1,1,knn
181,knn_seed_129_skf_0_paras_1_K_5,129_skf_0,1,1,knn
182,knn_seed_129_skf_4_paras_1_K_5,129_skf_4,1,1,knn
183,knn_seed_130_skf_0_paras_1_K_5,130_skf_0,1,1,knn
184,knn_seed_130_skf_3_paras_1_K_5,130_skf_3,1,1,knn
185,knn_seed_130_skf_4_paras_1_K_5,130_skf_4,1,1,knn
186,knn_seed_132_skf_2_paras_1_K_5,132_skf_2,1,1,knn
187,knn_seed_133_skf_1_paras_1_K_5,133_skf_1,1,1,knn
188,knn_seed_133_skf_4_paras_1_K_5,133_skf_4,1,1,knn
189,knn_seed_135_skf_1_paras_1_K_5,135_skf_1,1,1,knn
190,knn_seed_136_skf_2_paras_1_K_5,136_skf_2,1,1,knn
191,knn_seed_136_skf_3_paras_1_K_5,136_skf_3,1,1,knn
192,knn_seed_137_skf_3_paras_1_K_5,137_skf_3,1,1,knn
193,knn_seed_137_skf_4_paras_1_K_5,137_skf_4,1,1,knn
194,knn_seed_138_skf_0_paras_1_K_5,138_skf_0,1,1,knn
195,knn_seed_138_skf_1_paras_1_K_5,138_skf_1,1,1,knn
196,knn_seed_138_skf_2_paras_1_K_5,138_skf_2,1,1,knn
197,knn_seed_138_skf_3_paras_1_K_5,138_skf_3,1,1,knn
198,knn_seed_139_skf_2_paras_1_K_5,139_skf_2,1,1,knn
199,knn_seed_140_skf_3_paras_1_K_5,140_skf_3,1,1,knn
200,knn_seed_141_skf_1_paras_1_K_5,141_skf_1,1,1,knn
201,knn_seed_141_skf_3_paras_1_K_5,141_skf_3,1,1,knn
202,knn_seed_142_skf_0_paras_1_K_5,142_skf_0,1,1,knn
203,knn_seed_143_skf_3_paras_1_K_5,143_skf_3,1,1,knn
204,knn_seed_144_skf_0_paras_1_K_5,144_skf_0,1,1,knn
205,knn_seed_144_skf_3_paras_1_K_5,144_skf_3,1,1,knn
206,knn_seed_144_skf_4_paras_1_K_5,144_skf_4,1,1,knn
207,knn_seed_147_skf_4_paras_1_K_5,147_skf_4,1,1,knn
208,knn_seed_148_skf_1_paras_1_K_5,148_skf_1,1,1,knn
209,knn_seed_149_skf_2_paras_1_K_5,149_skf_2,1,1,knn
210,knn_seed_150_skf_0_paras_1_K_5,150_skf_0,1,1,knn
211,knn_seed_150_skf_2_paras_1_K_5,150_skf_2,1,1,knn
212,knn_seed_151_skf_0_paras_1_K_5,151_skf_0,1,1,knn
213,knn_seed_152_skf_1_paras_1_K_5,152_skf_1,1,1,knn
214,knn_seed_153_skf_4_paras_1_K_5,153_skf_4,1,1,knn
215,knn_seed_155_skf_1_paras_1_K_5,155_skf_1,1,1,knn
216,knn_seed_155_skf_2_paras_1_K_5,155_skf_2,1,1,knn
217,knn_seed_156_skf_4_paras_1_K_5,156_skf_4,1,1,knn
218,knn_seed_157_skf_0_paras_1_K_5,157_skf_0,1,1,knn
219,knn_seed_157_skf_3_paras_1_K_5,157_skf_3,1,1,knn
220,knn_seed_158_skf_1_paras_1_K_5,158_skf_1,1,1,knn
221,knn_seed_158_skf_2_paras_1_K_5,158_skf_2,1,1,knn
222,knn_seed_159_skf_2_paras_1_K_5,159_skf_2,1,1,knn
223,knn_seed_159_skf_3_paras_1_K_5,159_skf_3,1,1,knn
224,knn_seed_162_skf_1_paras_1_K_5,162_skf_1,1,1,knn
225,knn_seed_163_skf_1_paras_1_K_5,163_skf_1,1,1,knn
226,knn_seed_163_skf_2_paras_1_K_5,163_skf_2,1,1,knn
227,knn_seed_164_skf_1_paras_1_K_5,164_skf_1,1,1,knn
228,knn_seed_165_skf_3_paras_1_K_5,165_skf_3,1,1,knn
229,knn_seed_166_skf_0_paras_1_K_5,166_skf_0,1,1,knn
230,knn_seed_167_skf_0_paras_1_K_5,167_skf_0,1,1,knn
231,knn_seed_167_skf_2_paras_1_K_5,167_skf_2,1,1,knn
232,knn_seed_167_skf_3_paras_1_K_5,167_skf_3,1,1,knn
233,knn_seed_168_skf_1_paras_1_K_5,168_skf_1,1,1,knn
234,knn_seed_168_skf_4_paras_1_K_5,168_skf_4,1,1,knn
235,knn_seed_169_skf_0_paras_1_K_5,169_skf_0,1,1,knn
236,knn_seed_169_skf_4_paras_1_K_5,169_skf_4,1,1,knn
237,knn_seed_171_skf_2_paras_1_K_5,171_skf_2,1,1,knn
238,knn_seed_171_skf_4_paras_1_K_5,171_skf_4,1,1,knn
239,knn_seed_172_skf_4_paras_1_K_5,172_skf_4,1,1,knn
240,knn_seed_173_skf_1_paras_1_K_5,173_skf_1,1,1,knn
241,knn_seed_174_skf_1_paras_1_K_5,174_skf_1,1,1,knn
242,knn_seed_174_skf_2_paras_1_K_5,174_skf_2,1,1,knn
243,knn_seed_174_skf_3_paras_1_K_5,174_skf_3,1,1,knn
244,knn_seed_176_skf_4_paras_1_K_5,176_skf_4,1,1,knn
245,knn_seed_177_skf_1_paras_1_K_5,177_skf_1,1,1,knn
246,knn_seed_177_skf_2_paras_1_K_5,177_skf_2,1,1,knn
247,knn_seed_178_skf_3_paras_1_K_5,178_skf_3,1,1,knn
248,knn_seed_178_skf_4_paras_1_K_5,178_skf_4,1,1,knn
249,knn_seed_179_skf_2_paras_1_K_5,179_skf_2,1,1,knn
250,knn_seed_179_skf_3_paras_1_K_5,179_skf_3,1,1,knn
251,knn_seed_180_skf_0_paras_1_K_5,180_skf_0,1,1,knn
252,knn_seed_180_skf_1_paras_1_K_5,180_skf_1,1,1,knn
253,knn_seed_180_skf_2_paras_1_K_5,180_skf_2,1,1,knn
254,knn_seed_181_skf_0_paras_1_K_5,181_skf_0,1,1,knn
255,knn_seed_182_skf_0_paras_1_K_5,182_skf_0,1,1,knn
256,knn_seed_183_skf_0_paras_1_K_5,183_skf_0,1,1,knn
257,knn_seed_184_skf_3_paras_1_K_5,184_skf_3,1,1,knn
258,knn_seed_184_skf_4_paras_1_K_5,184_skf_4,1,1,knn
259,knn_seed_185_skf_0_paras_1_K_5,185_skf_0,1,1,knn
260,knn_seed_185_skf_1_paras_1_K_5,185_skf_1,1,1,knn
261,knn_seed_185_skf_3_paras_1_K_5,185_skf_3,1,1,knn
262,knn_seed_186_skf_0_paras_1_K_5,186_skf_0,1,1,knn
263,knn_seed_186_skf_1_paras_1_K_5,186_skf_1,1,1,knn
264,knn_seed_186_skf_4_paras_1_K_5,186_skf_4,1,1,knn
265,knn_seed_187_skf_2_paras_1_K_5,187_skf_2,1,1,knn
266,knn_seed_187_skf_4_paras_1_K_5,187_skf_4,1,1,knn
267,knn_seed_189_skf_1_paras_1_K_5,189_skf_1,1,1,knn
268,knn_seed_189_skf_3_paras_1_K_5,189_skf_3,1,1,knn
269,knn_seed_192_skf_1_paras_1_K_5,192_skf_1,1,1,knn
270,knn_seed_194_skf_0_paras_1_K_5,194_skf_0,1,1,knn
271,knn_seed_194_skf_3_paras_1_K_5,194_skf_3,1,1,knn
272,knn_seed_196_skf_4_paras_1_K_5,196_skf_4,1,1,knn
273,knn_seed_197_skf_1_paras_1_K_5,197_skf_1,1,1,knn
274,knn_seed_199_skf_0_paras_1_K_5,199_skf_0,1,1,knn
275,knn_seed_199_skf_2_paras_1_K_5,199_skf_2,1,1,knn
276,knn_seed_199_skf_3_paras_1_K_5,199_skf_3,1,1,knn
277,lr_seed_0_skf_3_paras_4_C_0.1_weight_balanced,0_skf_3,1,1,lr
